	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=256, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=256, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=256, threshold=2.5
Length	3210.0	106.06386292834891	88.18844717450989	5.0	65.0	90.0	110.0	1120.0	95.0	0.5447723657916559	0.11770372872395107	0.10716348622283074	0.45127285054031036	0.16031310119982964	0.1341606998448995	0.6622883409454716	0.018643652831873202	0.022308442349615976	k-means 5 features n_clusters=256, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=512, threshold=1
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=512, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=512, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=512, threshold=2.5
Length	3210.0	106.06386292834891	88.18844717450989	5.0	65.0	90.0	110.0	1120.0	95.0	0.5447723657916559	0.11770372872395107	0.10716348622283074	0.45127285054031036	0.16031310119982964	0.1341606998448995	0.6622883409454716	0.018643652831873202	0.022308442349615976	k-means 5 features n_clusters=512, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=1024, threshold=1
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=1024, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=1024, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=1024, threshold=2.5
Length	3210.0	106.06386292834891	88.18844717450989	5.0	65.0	90.0	110.0	1120.0	95.0	0.5447723657916559	0.11770372872395107	0.10716348622283074	0.45127285054031036	0.16031310119982964	0.1341606998448995	0.6622883409454716	0.018643652831873202	0.022308442349615976	k-means 5 features n_clusters=1024, threshold=3
