	gene_id	gene_name	open_S0	open_S1	open_S2
47	ENSMUSG00000027533	Fabp5	0.26	0.495	0.588
48	ENSMUSG00000015749	Anp32e	0.305	0.365	0.277
49	ENSMUSG00000032826	Ank2	0.2155	0.3705	0.4955
50	ENSMUSG00000074480	Mex3a	0.5	0.605	0.6075
51	ENSMUSG00000041084	Ostc	0.315	0.366	0.3775
52	ENSMUSG00000008958	Vps72	0.1725	0.1575	0.17
53	ENSMUSG00000019710	Mrpl24	0.045	0.2675	0.2975
54	ENSMUSG00000038612	Mcl1	0.2	0.3055	0.3855
55	ENSMUSG00000028066	Pmf1	0.205	0.3425	0.46
56	ENSMUSG00000064068	Mtx1	0.389	0.4865	0.5815
57	ENSMUSG00000000001	Gnai3	0.4225	0.48	0.45
58	ENSMUSG00000038975	Rabggtb	0.11	0.28	0.355
59	ENSMUSG00000028180	Zranb2	0.23	0.3	0.4015
60	ENSMUSG00000027804	Ppid	0.125	0.395	0.4925
61	ENSMUSG00000028049	Scamp3	0.472	0.6195	0.6
62	ENSMUSG00000025764	Jade1	0.3525	0.0475	0.1575
63	ENSMUSG00000002227	Mov10	0.194	0.359	0.4815
64	ENSMUSG00000027998	Plrg1	0.1175	0.3125	0.3
65	ENSMUSG00000054312	Mrps21	0.2775	0.3125	0.33
66	ENSMUSG00000005687	Bcas2	0.335	0.2875	0.275
67	ENSMUSG00000068923	Syt11	0.0525	0.0975	0.105
68	ENSMUSG00000027810	Eif2a	0.1925	0.42	0.3675
69	ENSMUSG00000014601	Strip1	0.3285	0.4825	0.5425
70	ENSMUSG00000027984	Hadh	0.17	0.32	0.39
71	ENSMUSG00000027944	Hax1	0.155	0.3925	0.4075
72	ENSMUSG00000028070	Naxe	0.205	0.3645	0.3225
73	ENSMUSG00000068523	Gng5	0.12	0.27	0.32
74	ENSMUSG00000028137	Celf3	0.065	0.2525	0.3165
75	ENSMUSG00000038374	Rbm8a	0.265	0.44	0.41
76	ENSMUSG00000027852	Nras	0.245	0.37	0.41
77	ENSMUSG00000027805	Pfn2	0.07	0.1935	0.1775
78	ENSMUSG00000068740	Celsr2	0.4545	0.272	0.325
79	ENSMUSG00000028093	Acp6	0.4475	0.53	0.5575
80	ENSMUSG00000027562	Car2	0.26	0.2575	0.2455
81	ENSMUSG00000004895	Prcc	0.4875	0.5285	0.58
82	ENSMUSG00000028060	Khdc4	0.0525	0.435	0.4675
83	ENSMUSG00000068917	Clk2	0.2425	0.2175	0.275
84	ENSMUSG00000027752	Exosc8	0.3075	0.4565	0.659
85	ENSMUSG00000048540	Nhlh2	0.0875	0.105	0.1675
86	ENSMUSG00000053192	Mllt11	0.3475	0.035	0.0575
87	ENSMUSG00000032902	Slc16a1	0.4175	0.4875	0.5655
88	ENSMUSG00000000561	Wdr77	0.4675	0.6375	0.71
89	ENSMUSG00000002233	Rhoc	0.3415	0.439	0.389
90	ENSMUSG00000042572	Ube2q1	0.238	0.468	0.4705
91	ENSMUSG00000028078	Dclk2	0.1725	0.205	0.3825
92	ENSMUSG00000027751	Supt20	0.05	0.165	0.375
93	ENSMUSG00000038619	Ensa	0.37	0.46	0.37
94	ENSMUSG00000034349	Smc4	0.37	0.5355	0.553
95	ENSMUSG00000027829	Ccnl1	0.295	0.505	0.6025
96	ENSMUSG00000028184	Adgrl2	0.128	0.295	0.3455
97	ENSMUSG00000027881	Prpf38b	0.3725	0.492	0.4695
98	ENSMUSG00000027933	Ints3	0.365	0.4225	0.4275
99	ENSMUSG00000068856	Sf3b4	0.3175	0.51	0.51
100	ENSMUSG00000027942	4933434E20Rik	0.125	0.24	0.275
101	ENSMUSG00000040943	Tet2	0.0775	0.2285	0.2785
102	ENSMUSG00000015714	Cers2	0.3675	0.3975	0.38
103	ENSMUSG00000078784	Rbis	0.2125	0.2825	0.385
104	ENSMUSG00000037643	Prkci	0.31	0.395	0.47
105	ENSMUSG00000000339	Rtca	0.24	0.255	0.33
106	ENSMUSG00000062908	Acadm	0.4	0.4025	0.465
107	ENSMUSG00000039756	Dnttip2	0.19	0.2475	0.2975
108	ENSMUSG00000042390	Gatad2b	0.3555	0.5805	0.5055
109	ENSMUSG00000057777	Mab21l2	0.176	0.291	0.3635
110	ENSMUSG00000087260	Lamtor5	0.215	0.285	0.285
111	ENSMUSG00000075700	Selenot	0.2325	0.135	0.2325
112	ENSMUSG00000028032	Papss1	0.29	0.405	0.4675
113	ENSMUSG00000027699	Ect2	0.35	0.36	0.475
114	ENSMUSG00000028156	Eif4e	0.1635	0.296	0.371
115	ENSMUSG00000004891	Nes	0.4125	0.65	0.635
116	ENSMUSG00000038902	Pogz	0.0925	0.1875	0.2175
117	ENSMUSG00000048039	Isg20l2	0.125	0.3175	0.2825
118	ENSMUSG00000040269	Mrps28	0.255	0.255	0.3175
119	ENSMUSG00000039735	Fnbp1l	0.2205	0.4455	0.4425
120	ENSMUSG00000027952	Pmvk	0.1175	0.2105	0.1
121	ENSMUSG00000068747	Sort1	0.0925	0.27	0.305
122	ENSMUSG00000028107	Tars2	0.0	0.0	0.0
123	ENSMUSG00000042747	Krtcap2	0.3625	0.4695	0.4945
124	ENSMUSG00000068921	Dap3	0.17	0.2375	0.195
125	ENSMUSG00000015697	Setdb1	0.0	0.04	0.105
126	ENSMUSG00000028013	Ppa2	0.15	0.2525	0.2225
127	ENSMUSG00000027506	Tpd52	0.2175	0.2275	0.359
128	ENSMUSG00000027663	Zmat3	0.316	0.3625	0.67
129	ENSMUSG00000054199	Gon4l	0.0725	0.0475	0.1075
130	ENSMUSG00000089911	Mfsd14a	0.127	0.23	0.307
131	ENSMUSG00000005813	Metap1	0.14	0.2575	0.3
132	ENSMUSG00000028140	Mrpl9	0.1875	0.2625	0.295
133	ENSMUSG00000027996	Sfrp2	0.4625	0.6125	0.7025
134	ENSMUSG00000046722	Cdc42se1	0.4375	0.565	0.5575
135	ENSMUSG00000070372	Capza1	0.532	0.622	0.6795
136	ENSMUSG00000028010	Gar1	0.1375	0.1925	0.3675
137	ENSMUSG00000027667	Zfp639	0.305	0.4625	0.4275
138	ENSMUSG00000074238	Ap1ar	0.15	0.2875	0.37
139	ENSMUSG00000015745	Plekho1	0.12	0.29	0.345
140	ENSMUSG00000027777	Schip1	0.065	0.075	0.1175
141	ENSMUSG00000042626	Shc1	0.33	0.55	0.635
142	ENSMUSG00000037400	Atp11b	0.0625	0.1975	0.2375
143	ENSMUSG00000068922	Msto1	0.4825	0.56	0.615
144	ENSMUSG00000027889	Ampd2	0.315	0.45	0.545
145	ENSMUSG00000028271	Gtf2b	0.265	0.275	0.3125
146	ENSMUSG00000027660	Skil	0.0675	0.1375	0.2305
147	ENSMUSG00000008730	Hipk1	0.1665	0.2275	0.205
148	ENSMUSG00000049230	Gm9833	0.0	0.0	0.0
149	ENSMUSG00000028063	Lmna	0.5225	0.33	0.4225
150	ENSMUSG00000015748	Prpf3	0.2875	0.2575	0.325
151	ENSMUSG00000027601	Mtfr1	0.175	0.2425	0.345
152	ENSMUSG00000028099	Polr3c	0.2475	0.4575	0.3775
153	ENSMUSG00000041220	Elovl6	0.315	0.4515	0.394
154	ENSMUSG00000027993	Trim2	0.108	0.188	0.04
155	ENSMUSG00000015943	Bola1	0.2225	0.3325	0.4125
156	ENSMUSG00000028173	Wls	0.21	0.2875	0.3475
157	ENSMUSG00000052310	Slc39a1	0.5625	0.605	0.6025
158	ENSMUSG00000027706	Sec62	0.199	0.2165	0.2915
159	ENSMUSG00000027951	Adar	0.1825	0.3475	0.38
160	ENSMUSG00000063273	Naa15	0.095	0.205	0.16
161	ENSMUSG00000069094	Pde7a	0.275	0.295	0.4325
162	ENSMUSG00000039795	Zfand1	0.2975	0.335	0.31
163	ENSMUSG00000091512	Lamtor3	0.25	0.425	0.325
164	ENSMUSG00000027712	Anxa5	0.2825	0.4875	0.5265
165	ENSMUSG00000028195	Ccn1	0.315	0.4625	0.59
166	ENSMUSG00000004032	Gstm5	0.1275	0.21	0.2375
167	ENSMUSG00000034317	Trim59	0.305	0.3725	0.3775
168	ENSMUSG00000025437	Usp33	0.245	0.305	0.295
169	ENSMUSG00000033767	Tmem131l	0.348	0.388	0.498
170	ENSMUSG00000015522	Arnt	0.3475	0.39	0.36
171	ENSMUSG00000001025	S100a6	0.355	0.385	0.455
172	ENSMUSG00000028149	Rap1gds1	0.19	0.2425	0.4275
173	ENSMUSG00000037152	Ndufc1	0.45	0.46	0.5
174	ENSMUSG00000027968	Larp7	0.2475	0.3275	0.4025
175	ENSMUSG00000038777	Sema6c	0.385	0.5525	0.7425
176	ENSMUSG00000005034	Prkacb	0.1225	0.2425	0.335
177	ENSMUSG00000028048	Gba	0.14	0.0925	0.1775
178	ENSMUSG00000047824	Pygo2	0.14	0.14	0.2175
179	ENSMUSG00000044864	Ankrd50	0.2325	0.3675	0.4325
180	ENSMUSG00000033285	Wdr3	0.1	0.4525	0.537
181	ENSMUSG00000038861	Pi4kb	0.2275	0.3525	0.4775
182	ENSMUSG00000038712	Mindy1	0.3275	0.375	0.395
183	ENSMUSG00000028266	Lmo4	0.155	0.3055	0.35
184	ENSMUSG00000001052	Sec24b	0.1175	0.05	0.175
185	ENSMUSG00000028136	Snx27	0.0	0.3875	0.2625
186	ENSMUSG00000060671	Atp8b2	0.3785	0.5085	0.5935
187	ENSMUSG00000028187	Rpf1	0.13	0.225	0.305
188	ENSMUSG00000027937	Jtb	0.375	0.32	0.3175
189	ENSMUSG00000058135	Gstm1	0.2875	0.45	0.45
190	ENSMUSG00000028127	Abcd3	0.135	0.21	0.285
191	ENSMUSG00000037174	Elf2	0.1425	0.2835	0.226
192	ENSMUSG00000049940	Pgrmc2	0.305	0.395	0.5875
193	ENSMUSG00000027782	Kpna4	0.265	0.315	0.36
194	ENSMUSG00000092607	Scnm1	0.1675	0.4275	0.3675
195	ENSMUSG00000027879	Sec22b	0.1325	0.1975	0.275
196	ENSMUSG00000028152	Tspan5	0.2965	0.289	0.329
197	ENSMUSG00000047213	Ythdf3	0.0975	0.2525	0.3675
198	ENSMUSG00000054091	1810037I17Rik	0.1575	0.3025	0.245
199	ENSMUSG00000004591	Pkn2	0.0	0.075	0.0625
200	ENSMUSG00000033222	Ttf2	0.355	0.49	0.455
201	ENSMUSG00000028098	Rnf115	0.2475	0.4575	0.3775
202	ENSMUSG00000038256	Bcl9	0.1675	0.282	0.42
203	ENSMUSG00000001018	Snapin	0.2575	0.2575	0.2875
204	ENSMUSG00000027714	Exosc9	0.188	0.3155	0.338
205	ENSMUSG00000028101	Pias3	0.245	0.315	0.39
206	ENSMUSG00000027883	Gpsm2	0.165	0.281	0.496
207	ENSMUSG00000038526	Car14	0.2775	0.6325	0.485
208	ENSMUSG00000036834	Plch1	0.2425	0.4425	0.52
209	ENSMUSG00000041263	Rusc1	0.2675	0.415	0.4275
210	ENSMUSG00000019338	Zfp687	0.65	0.8765	0.92
211	ENSMUSG00000027808	Serp1	0.1925	0.42	0.3675
212	ENSMUSG00000033014	Trim33	0.1175	0.1005	0.2055
213	ENSMUSG00000015750	Aph1a	0.305	0.425	0.49
214	ENSMUSG00000027797	Dclk1	0.2825	0.325	0.4435
215	ENSMUSG00000027775	Mfsd1	0.05	0.185	0.3975
216	ENSMUSG00000027864	Ptgfrn	0.2825	0.3675	0.396
217	ENSMUSG00000027710	Acad9	0.2325	0.315	0.4275
218	ENSMUSG00000037062	Sh3glb1	0.265	0.145	0.19
219	ENSMUSG00000028126	Pip5k1a	0.35	0.39	0.4125
220	ENSMUSG00000028163	Nfkb1	0.215	0.3	0.31
221	ENSMUSG00000025255	Zfhx4	0.0	0.165	0.275
222	ENSMUSG00000040374	Pex2	0.1275	0.31	0.4375
223	ENSMUSG00000048997	Atxn7l2	0.1675	0.3685	0.455
224	ENSMUSG00000049288	Lix1l	0.216	0.3135	0.331
225	ENSMUSG00000027999	Pla2g12a	0.0	0.0925	0.1795
226	ENSMUSG00000028069	Gpatch4	0.2075	0.2975	0.29
227	ENSMUSG00000004896	Rrnad1	0.125	0.3175	0.2825
228	ENSMUSG00000027679	Dnajc19	0.13	0.31	0.415
229	ENSMUSG00000027884	Clcc1	0.213	0.2225	0.2425
230	ENSMUSG00000042165	Gm9774	0.13	0.0	0.04
231	ENSMUSG00000042035	Igsf3	0.08	0.195	0.195
232	ENSMUSG00000027742	Cog6	0.0825	0.295	0.26
233	ENSMUSG00000027668	Mfn1	0.0575	0.235	0.225
234	ENSMUSG00000062127	Cttnbp2nl	0.215	0.3825	0.4025
235	ENSMUSG00000027823	Gmps	0.3475	0.4395	0.455
236	ENSMUSG00000027531	Impa1	0.2775	0.28	0.2825
237	ENSMUSG00000027905	Ddx20	0.0925	0.4085	0.405
238	ENSMUSG00000001418	Glmp	0.2375	0.3125	0.315
239	ENSMUSG00000015711	Prune1	0.5825	0.6925	0.63
240	ENSMUSG00000054942	Miga1	0.2475	0.315	0.2875
241	ENSMUSG00000027774	Gfm1	0.2125	0.3375	0.3275
242	ENSMUSG00000039068	Zzz3	0.1095	0.2225	0.14
243	ENSMUSG00000028106	Rprd2	0.5235	0.551	0.7235
244	ENSMUSG00000028047	Thbs3	0.3115	0.4375	0.6425
245	ENSMUSG00000045328	Cenpe	0.155	0.2225	0.345
246	ENSMUSG00000001419	Mef2d	0.305	0.44	0.4125
247	ENSMUSG00000027835	Pdcd10	0.3825	0.69	0.65
248	ENSMUSG00000027499	Pkia	0.185	0.32	0.3725
249	ENSMUSG00000027599	Armc1	0.235	0.4425	0.5525
250	ENSMUSG00000027552	E2f5	0.0875	0.105	0.24
251	ENSMUSG00000027770	Dhx36	0.21	0.245	0.2875
252	ENSMUSG00000063052	Lrrc40	0.2725	0.2825	0.44
253	ENSMUSG00000028191	Bcl10	0.1225	0.0825	0.1175
254	ENSMUSG00000028128	F3	0.3225	0.49	0.595
255	ENSMUSG00000027860	Vangl1	0.3525	0.399	0.4265
256	ENSMUSG00000027936	Crtc2	0.2025	0.3975	0.3675
257	ENSMUSG00000038170	Pde4dip	0.2975	0.305	0.375
258	ENSMUSG00000034544	Rsrc1	0.1375	0.215	0.4125
259	ENSMUSG00000039988	Ankrd13c	0.066	0.196	0.3885
260	ENSMUSG00000041977	Arhgef11	0.0475	0.185	0.155
261	ENSMUSG00000027907	S100a11	0.14	0.15	0.1275
262	ENSMUSG00000036580	Spg20	0.19	0.25	0.4775
263	ENSMUSG00000061175	Fnip2	0.2275	0.4075	0.3675
264	ENSMUSG00000025758	Plk4	0.275	0.3575	0.5075
265	ENSMUSG00000028161	Ppp3ca	0.135	0.3075	0.32
266	ENSMUSG00000033554	Dph5	0.105	0.225	0.2625
267	ENSMUSG00000033981	Gria2	0.2	0.2025	0.3625
268	ENSMUSG00000028089	Chd1l	0.14	0.15	0.1525
269	ENSMUSG00000027677	Ttc14	0.305	0.4075	0.43
270	ENSMUSG00000050144	Slc25a44	0.2825	0.315	0.3625
271	ENSMUSG00000027878	Notch2	0.185	0.4375	0.3175
272	ENSMUSG00000038486	Sv2a	0.065	0.1895	0.21
273	ENSMUSG00000049300	Prmt6	0.3275	0.5615	0.569
274	ENSMUSG00000042737	Dpm3	0.21	0.0775	0.2225
275	ENSMUSG00000074182	Znhit6	0.1625	0.34	0.29
276	ENSMUSG00000028040	Efna4	0.1575	0.309	0.4665
277	ENSMUSG00000036632	Alg5	0.26	0.431	0.5975
278	ENSMUSG00000033752	Mnd1	0.3075	0.1375	0.14
279	ENSMUSG00000027709	Mccc1	0.3	0.3175	0.3325
280	ENSMUSG00000028104	Polr3gl	0.3225	0.4175	0.4525
281	ENSMUSG00000041734	Kirrel	0.46	0.6175	0.698
282	ENSMUSG00000028164	Manba	0.3075	0.3275	0.3225
283	ENSMUSG00000042642	Flad1	0.33	0.4355	0.445
284	ENSMUSG00000027630	Tbl1xr1	0.0	0.1325	0.105
285	ENSMUSG00000027854	Sike1	0.0875	0.1775	0.13
286	ENSMUSG00000068732	Tmem167b	0.21	0.23	0.39
287	ENSMUSG00000049504	Proser1	0.49	0.4825	0.8175
288	ENSMUSG00000036873	2410004B18Rik	0.1135	0.2975	0.3885
289	ENSMUSG00000036513	Commd2	0.2425	0.2425	0.3245
290	ENSMUSG00000037211	Spry1	0.1875	0.2925	0.3675
291	ENSMUSG00000027809	Etfdh	0.4825	0.6655	0.5555
292	ENSMUSG00000028114	Mettl14	0.115	0.3085	0.3275
293	ENSMUSG00000037270	4932438A13Rik	0.145	0.1975	0.275
294	ENSMUSG00000046519	Golph3l	0.215	0.265	0.27
295	ENSMUSG00000046743	Fat4	0.369	0.565	0.9075
296	ENSMUSG00000074513	Arfip1	0.3275	0.54	0.54
297	ENSMUSG00000038766	Gabpb2	0.365	0.4575	0.425
298	ENSMUSG00000028068	Iqgap3	0.2975	0.3875	0.325
299	ENSMUSG00000027803	Wwtr1	0.538	0.538	0.753
300	ENSMUSG00000034109	Golim4	0.155	0.5075	0.52
301	ENSMUSG00000043542	Zc2hc1a	0.1025	0.15	0.1775
302	ENSMUSG00000034640	Tiparp	0.1815	0.214	0.339
303	ENSMUSG00000002228	Ppm1j	0.2855	0.518	0.623
304	ENSMUSG00000027722	Spata5	0.452	0.652	0.7445
305	ENSMUSG00000040151	Hs2st1	0.425	0.6125	0.63
306	ENSMUSG00000028086	Fbxw7	0.265	0.4645	0.3
307	ENSMUSG00000028035	Dnajb4	0.2625	0.505	0.5125
308	ENSMUSG00000028057	Rit1	0.1875	0.225	0.3125
309	ENSMUSG00000039234	Sec24d	0.335	0.3675	0.5525
310	ENSMUSG00000028018	Gstcd	0.0775	0.3225	0.35
311	ENSMUSG00000032913	Lrig2	0.2175	0.5075	0.5675
312	ENSMUSG00000008763	Man1a2	0.2875	0.4215	0.319
313	ENSMUSG00000027799	Nbea	0.065	0.1775	0.245
314	ENSMUSG00000028041	Adam15	0.3575	0.555	0.5625
315	ENSMUSG00000028194	Ddah1	0.055	0.0975	0.204
316	ENSMUSG00000038495	Otud7b	0.22	0.39	0.24
317	ENSMUSG00000058388	Phtf1	0.2025	0.3325	0.4425
318	ENSMUSG00000037111	Setd7	0.5315	0.524	0.604
319	ENSMUSG00000048109	Rbm15	0.435	0.634	0.664
320	ENSMUSG00000040389	Wdr47	0.3175	0.456	0.5335
321	ENSMUSG00000008668	Rps18	0.4375	0.5	0.515
322	ENSMUSG00000001525	Tubb5	0.105	0.2225	0.305
323	ENSMUSG00000044533	Rps2	0.0375	0.0	0.0
324	ENSMUSG00000023944	Hsp90ab1	0.3275	0.4725	0.5645
325	ENSMUSG00000057863	Rpl36	0.3375	0.4625	0.4875
326	ENSMUSG00000052146	Rps10	0.336	0.04	0.1725
327	ENSMUSG00000037805	Rpl10a	0.2175	0.3025	0.6575
328	ENSMUSG00000067288	Rps28	0.0975	0.1925	0.22
329	ENSMUSG00000024406	Pou5f1	0.3825	0.1025	0.1325
330	ENSMUSG00000055839	Elob	0.1075	0.17	0.2225
331	ENSMUSG00000019432	Ddx39b	0.1925	0.3325	0.489
332	ENSMUSG00000039218	Srrm2	0.2675	0.1625	0.32
333	ENSMUSG00000068039	Tcp1	0.2015	0.329	0.344
334	ENSMUSG00000036438	Calm2	0.0	0.0475	0.0425
335	ENSMUSG00000014769	Psmb1	0.1	0.1775	0.2775
336	ENSMUSG00000046711	Hmga1	0.1125	0.0575	0.245
337	ENSMUSG00000007564	Ppp2r1a	0.065	0.2025	0.345
338	ENSMUSG00000024392	Bag6	0.225	0.375	0.5075
339	ENSMUSG00000071172	Srsf3	0.0	0.0	0.3525
340	ENSMUSG00000041881	Ndufa7	0.0975	0.1925	0.22
341	ENSMUSG00000015120	Ube2i	0.0925	0.2675	0.3225
342	ENSMUSG00000036036	Zfp57	0.0	0.0	0.0
343	ENSMUSG00000024393	Prrc2a	0.0	0.1425	0.305
344	ENSMUSG00000013236	Ptprs	0.145	0.262	0.3395
345	ENSMUSG00000061613	U2af1	0.175	0.095	0.225
346	ENSMUSG00000007039	Ddah2	0.2225	0.2975	0.4525
347	ENSMUSG00000024097	Srsf7	0.16	0.28	0.35
348	ENSMUSG00000059208	Hnrnpm	0.05	0.0	0.0
349	ENSMUSG00000024012	Mtch1	0.1175	0.12	0.1225
350	ENSMUSG00000096255	Dynlt1b	0.12	0.19	0.22
351	ENSMUSG00000013787	Ehmt2	0.0805	0.188	0.328
352	ENSMUSG00000034868	Myl12b	0.075	0.291	0.6085
353	ENSMUSG00000005370	Msh6	0.09	0.2275	0.305
354	ENSMUSG00000007029	Vars	0.2055	0.265	0.3175
355	ENSMUSG00000007041	Clic1	0.22	0.175	0.415
356	ENSMUSG00000024387	Csnk2b	0.2895	0.262	0.447
357	ENSMUSG00000024048	Myl12a	0.1375	0.15	0.26
358	ENSMUSG00000001228	Uhrf1	0.144	0.3465	0.5165
359	ENSMUSG00000023942	Slc29a1	0.1075	0.08	0.13
360	ENSMUSG00000032796	Lama1	0.0	0.045	0.17
361	ENSMUSG00000024121	Atp6v0c	0.08	0.1975	0.39
362	ENSMUSG00000024248	Cox7a2l	0.0	0.0	0.0
363	ENSMUSG00000067148	Polr1c	0.2125	0.2275	0.5625
364	ENSMUSG00000092074	Dynlt1a	0.0725	0.055	0.1375
365	ENSMUSG00000024026	Glo1	0.0	0.0	0.0
366	ENSMUSG00000024091	Vapa	0.0	0.1025	0.24
367	ENSMUSG00000049124	Gm8186	0.0	0.0	0.0
368	ENSMUSG00000024151	Msh2	0.135	0.0975	0.2025
369	ENSMUSG00000023067	Cdkn1a	0.1175	0.0	0.05
370	ENSMUSG00000024335	Brd2	0.0065	0.104	0.2215
371	ENSMUSG00000034681	Rnps1	0.1775	0.185	0.22
372	ENSMUSG00000023951	Vegfa	0.095	0.2125	0.36
373	ENSMUSG00000024067	Dpy30	0.0	0.0	0.0
374	ENSMUSG00000095677	Dynlt1f	0.0	0.0	0.0
375	ENSMUSG00000024327	Slc39a7	0.1	0.19	0.475
376	ENSMUSG00000024181	Mrpl28	0.0	0.1025	0.1175
377	ENSMUSG00000002767	Mrpl2	0.24	0.3025	0.475
378	ENSMUSG00000002274	Metrn	0.07	0.3255	0.313
379	ENSMUSG00000024309	Pfdn6	0.23	0.3975	0.4825
380	ENSMUSG00000034254	Agpat1	0.2475	0.6445	0.65
381	ENSMUSG00000040048	Ndufb10	0.1025	0.187	0.3745
382	ENSMUSG00000052752	Traf7	0.28	0.36	0.44
383	ENSMUSG00000024426	Atat1	0.0925	0.1875	0.19
384	ENSMUSG00000038762	Abcf1	0.04	0.115	0.1625
385	ENSMUSG00000002372	Ranbp3	0.0	0.0	0.315
386	ENSMUSG00000042625	Safb2	0.0	0.1875	0.3025
387	ENSMUSG00000024006	Stk38	0.1525	0.4125	0.3625
388	ENSMUSG00000024213	Nudt3	0.04	0.1325	0.235
389	ENSMUSG00000052397	Ezr	0.1825	0.25	0.445
390	ENSMUSG00000071054	Safb	0.0	0.1875	0.3025
391	ENSMUSG00000007670	Khsrp	0.2075	0.3725	0.3
392	ENSMUSG00000002833	Hdgfl2	0.17	0.31	0.385
393	ENSMUSG00000023832	Acat2	0.185	0.2725	0.2825
394	ENSMUSG00000036026	Tmem63b	0.0	0.1085	0.2635
395	ENSMUSG00000072082	Ccnf	0.12	0.2325	0.35
396	ENSMUSG00000023972	Ptk7	0.2625	0.26	0.585
397	ENSMUSG00000003534	Ddr1	0.0875	0.4025	0.495
398	ENSMUSG00000024208	Uqcc2	0.065	0.1375	0.142
399	ENSMUSG00000024163	Mapk8ip3	0.1475	0.275	0.31
400	ENSMUSG00000049823	Zbtb12	0.0	0.0	0.0
401	ENSMUSG00000063888	Rpl7l1	0.24	0.305	0.35
402	ENSMUSG00000003199	Mpnd	0.085	0.0475	0.0475
403	ENSMUSG00000024038	Ndufv3	0.1	0.1775	0.2935
404	ENSMUSG00000024462	Gabbr1	0.0425	0.09	0.145
405	ENSMUSG00000024217	Snrpc	0.0	0.0	0.0
406	ENSMUSG00000024369	Nelfe	0.0	0.0	0.3125
407	ENSMUSG00000041168	Lonp1	0.1775	0.23	0.3175
408	ENSMUSG00000047407	Tgif1	0.332	0.3325	0.5
409	ENSMUSG00000024007	Ppil1	0.1625	0.2525	0.23
410	ENSMUSG00000023991	Foxp4	0.0815	0.15	0.3815
411	ENSMUSG00000059409	Ppp2r5d	0.17	0.2975	0.4675
412	ENSMUSG00000079553	Kifc1	0.0	0.05	0.0525
413	ENSMUSG00000024188	Luc7l	0.2075	0.2575	0.3375
414	ENSMUSG00000063576	Klhdc3	0.1	0.2525	0.4075
415	ENSMUSG00000004945	Tmem242	0.145	0.2375	0.4025
