	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	2969.0	102.72482317278545	90.04043375296393	5.0	60.0	85.0	110.0	1090.0	95.0	0.5369693179809953	0.12951244303091905	0.11650164724480978	0.4428726157305972	0.17562870913800452	0.14384731479641436	0.6685956916620217	0.016701063772173372	0.019983997862362875	k-means 5 features n_clusters=10, scale=2, threshold=3
Length	23010.0	165.3928726640591	160.68783039085923	5.0	90.0	110.0	195.0	2555.0	95.0	0.8984516251818219	0.017366364575149316	0.01733234377786403	0.8490024721163466	0.026982229240952362	0.026853363521988895	0.5676752441738555	0.2083972306866536	0.2493619489977238	k-means 5 features n_clusters=10, scale=4, threshold=1
Length	15319.0	135.90671714863893	121.79419768427036	5.0	80.0	95.0	150.0	2105.0	95.0	0.8181101398839059	0.028906004212386916	0.028721421634249417	0.732631108979818	0.04256143864780939	0.04191046368691567	0.5902043992305309	0.11400656816877673	0.13641688012569494	k-means 5 features n_clusters=10, scale=4, threshold=1.5
Length	10824.0	119.73715816703621	105.76082997358687	5.0	70.0	95.0	130.0	1500.0	95.0	0.7544215005233752	0.04281983125455717	0.042231184841336276	0.6578309866141928	0.06139031739111984	0.059490661123655995	0.6042699464134842	0.07097007503842329	0.08492068811943825	k-means 5 features n_clusters=10, scale=4, threshold=2
Length	5019.0	106.91073919107392	94.54631026647999	5.0	65.0	90.0	110.0	1265.0	95.0	0.6294096056334199	0.08628642246801532	0.08211461994941881	0.5249816038164846	0.11833353522741039	0.10688878489254897	0.6414622100878705	0.029383062737111543	0.035158901908180544	k-means 5 features n_clusters=10, scale=4, threshold=2.5
Length	2766.0	102.5054229934924	87.9425001580719	5.0	60.0	85.0	110.0	1085.0	95.0	0.5259444542624488	0.13645469615208267	0.121509915138724	0.43179356588314083	0.18419567594258104	0.1482594945692597	0.6718759919585229	0.015525927444586108	0.018577864565775096	k-means 5 features n_clusters=10, scale=4, threshold=3
Length	21481.0	174.11503188864577	162.5410672582381	5.0	95.0	115.0	200.0	2555.0	95.0	0.8991313331792662	0.017683979182736592	0.017648965934061536	0.8492009028598831	0.027461355314538263	0.02732808926342139	0.568561280050479	0.20480912221204245	0.24506852475453111	k-means 5 features n_clusters=10, scale=8, threshold=1
Length	16264.0	139.8195400885391	126.39740829559392	5.0	80.0	100.0	155.0	2105.0	95.0	0.8276668343279727	0.02677367223315487	0.026625244566191836	0.7511595796575417	0.039952067369531996	0.03943020378261221	0.5872877387012017	0.12452420257882736	0.1490019697005139	k-means 5 features n_clusters=10, scale=8, threshold=1.5
Length	11327.0	119.02313057296725	107.48760895934842	5.0	70.0	95.0	130.0	1575.0	95.0	0.7619254768151602	0.041573237895673784	0.04104012043746449	0.667115891822173	0.05984905520425761	0.05811354782391999	0.6034780351215532	0.07382522919128442	0.0883370809472149	k-means 5 features n_clusters=10, scale=8, threshold=2
Length	5511.0	108.46851751043368	94.48712862129769	5.0	65.0	90.0	115.0	1460.0	95.0	0.642160927665475	0.07902370476939291	0.07569064226004778	0.5372843099157496	0.1087107081318902	0.09940419283042823	0.6351656991819596	0.03273351549589192	0.03916795436632236	k-means 5 features n_clusters=10, scale=8, threshold=2.5
Length	2937.0	103.6976506639428	89.53129450327644	5.0	65.0	85.0	110.0	1100.0	95.0	0.5375538668587975	0.1298364854215918	0.11679140404869778	0.4432777451653176	0.17603756238508012	0.14416434746366583	0.6685415024954032	0.016677517238116408	0.0199558227776689	k-means 5 features n_clusters=10, scale=8, threshold=3
