Chromosome	Start	End	width	Strand	study
1	7586619	7586794	176	*	ATACseq
1	7671647	7672100	454	*	ATACseq
1	7732814	7732993	180	*	ATACseq
1	7741817	7741967	151	*	ATACseq
1	7777344	7777541	198	*	ATACseq
1	8097026	8097432	407	*	ATACseq
1	8468792	8468931	140	*	ATACseq
1	8476988	8477318	331	*	ATACseq
1	8496348	8496514	167	*	ATACseq
1	8533750	8534115	366	*	ATACseq
1	8557677	8557788	112	*	ATACseq
1	8557970	8558380	411	*	ATACseq
1	8581894	8582501	608	*	ATACseq
1	8641043	8641301	259	*	ATACseq
1	8760445	8760561	117	*	ATACseq
1	8859121	8859522	402	*	ATACseq
1	8859918	8860030	113	*	ATACseq
1	8893210	8893376	167	*	ATACseq
1	8925359	8925576	218	*	ATACseq
1	8936176	8936279	104	*	ATACseq
1	8940704	8941312	609	*	ATACseq
1	9298559	9299104	546	*	ATACseq
1	9299286	9299982	697	*	ATACseq
1	9448923	9449081	159	*	ATACseq
1	9469424	9470352	929	*	ATACseq
1	9545155	9546209	1055	*	ATACseq
1	9548058	9548245	188	*	ATACseq
1	9573133	9573323	191	*	ATACseq
1	9601494	9601715	222	*	ATACseq
1	9649294	9649431	138	*	ATACseq
1	9699866	9701069	1204	*	ATACseq
1	9747744	9748636	893	*	ATACseq
1	9768507	9768874	368	*	ATACseq
1	9797916	9798593	678	*	ATACseq
1	9847691	9848086	396	*	ATACseq
1	9848194	9848653	460	*	ATACseq
1	9908621	9909410	790	*	ATACseq
1	9943821	9944197	377	*	ATACseq
1	9967138	9968263	1126	*	ATACseq
1	10008935	10009473	539	*	ATACseq
1	10031621	10032069	449	*	ATACseq
1	10037795	10038188	394	*	ATACseq
1	10039646	10040229	584	*	ATACseq
1	10049481	10049695	215	*	ATACseq
1	10131837	10132058	222	*	ATACseq
1	10232242	10233473	1232	*	ATACseq
1	10285406	10285746	341	*	ATACseq
1	10395943	10396103	161	*	ATACseq
1	10457854	10457969	116	*	ATACseq
1	10500231	10500346	116	*	ATACseq
1	10650768	10650913	146	*	ATACseq
1	10656850	10657020	171	*	ATACseq
1	10695236	10695462	227	*	ATACseq
1	10706973	10707106	134	*	ATACseq
1	10719872	10720146	275	*	ATACseq
1	10759543	10759839	297	*	ATACseq
1	10805290	10805572	283	*	ATACseq
1	10805768	10806035	268	*	ATACseq
1	10833903	10834026	124	*	ATACseq
1	10880395	10880500	106	*	ATACseq
1	10993480	10993917	438	*	ATACseq
1	11277858	11278290	433	*	ATACseq
1	11295247	11295535	289	*	ATACseq
1	11329433	11329745	313	*	ATACseq
1	11330213	11330480	268	*	ATACseq
1	11351138	11351470	333	*	ATACseq
1	11396159	11396268	110	*	ATACseq
1	11401323	11401424	102	*	ATACseq
1	11413913	11414546	634	*	ATACseq
1	11444063	11444213	151	*	ATACseq
1	11467143	11467329	187	*	ATACseq
1	11521530	11521737	208	*	ATACseq
1	11521834	11521991	158	*	ATACseq
1	11528265	11528405	141	*	ATACseq
1	11853779	11853912	134	*	ATACseq
1	12020771	12020892	122	*	ATACseq
1	12126393	12126880	488	*	ATACseq
1	12147988	12148194	207	*	ATACseq
1	12312845	12312959	115	*	ATACseq
1	12578926	12579203	278	*	ATACseq
1	12636746	12637016	271	*	ATACseq
1	12691920	12692522	603	*	ATACseq
1	12711273	12711706	434	*	ATACseq
1	12718019	12718720	702	*	ATACseq
1	12744628	12744977	350	*	ATACseq
1	12795745	12795907	163	*	ATACseq
1	12808702	12808890	189	*	ATACseq
1	12814288	12814687	400	*	ATACseq
1	12836112	12836462	351	*	ATACseq
1	12865032	12865587	556	*	ATACseq
1	12990272	12990450	179	*	ATACseq
1	12990803	12991252	450	*	ATACseq
1	12992197	12992797	601	*	ATACseq
1	12997617	12997815	199	*	ATACseq
1	13052233	13052582	350	*	ATACseq
1	13084996	13085259	264	*	ATACseq
1	13095787	13096008	222	*	ATACseq
1	13103483	13104179	697	*	ATACseq
1	13126543	13126780	238	*	ATACseq
1	13127184	13127286	103	*	ATACseq
1	13127397	13127713	317	*	ATACseq
1	13142518	13142672	155	*	ATACseq
1	13159966	13160091	126	*	ATACseq
1	13216437	13216613	177	*	ATACseq
1	13360807	13361094	288	*	ATACseq
1	13372257	13373440	1184	*	ATACseq
1	13373756	13374040	285	*	ATACseq
1	13374132	13374406	275	*	ATACseq
1	13426572	13427016	445	*	ATACseq
1	13531655	13531759	105	*	ATACseq
1	13533164	13533335	172	*	ATACseq
1	13589364	13589870	507	*	ATACseq
1	13590058	13590332	275	*	ATACseq
1	13606762	13606880	119	*	ATACseq
1	13660044	13660831	788	*	ATACseq
1	13789366	13789664	299	*	ATACseq
1	14225331	14225574	244	*	ATACseq
1	14309597	14310113	517	*	ATACseq
1	14484629	14484786	158	*	ATACseq
1	14506386	14506827	442	*	ATACseq
1	14506898	14507110	213	*	ATACseq
1	14740167	14740267	101	*	ATACseq
1	14755173	14755937	765	*	ATACseq
1	14918607	14919014	408	*	ATACseq
1	15017628	15017911	284	*	ATACseq
1	15266604	15266744	141	*	ATACseq
1	15286314	15287253	940	*	ATACseq
1	15327313	15327518	206	*	ATACseq
1	15622120	15622312	193	*	ATACseq
1	15644088	15644346	259	*	ATACseq
1	15791556	15791949	394	*	ATACseq
1	15794696	15794810	115	*	ATACseq
1	15805276	15806335	1060	*	ATACseq
1	15814913	15815159	247	*	ATACseq
1	15883530	15883709	180	*	ATACseq
1	15892335	15893029	695	*	ATACseq
1	15996211	15996344	134	*	ATACseq
1	16092708	16093610	903	*	ATACseq
1	16104688	16106109	1422	*	ATACseq
1	16116043	16116284	242	*	ATACseq
1	16130049	16130678	630	*	ATACseq
1	16268727	16268850	124	*	ATACseq
1	16518578	16519415	838	*	ATACseq
1	16519722	16520123	402	*	ATACseq
1	16596416	16596584	169	*	ATACseq
1	16618719	16619695	977	*	ATACseq
1	16656626	16657454	829	*	ATACseq
1	16665095	16665570	476	*	ATACseq
1	16688678	16689018	341	*	ATACseq
1	16792349	16792610	262	*	ATACseq
1	16824125	16824353	229	*	ATACseq
1	16824579	16824918	340	*	ATACseq
1	17091519	17091732	214	*	ATACseq
1	17091784	17091948	165	*	ATACseq
1	17096828	17098212	1385	*	ATACseq
1	17145290	17145695	406	*	ATACseq
1	17207464	17207871	408	*	ATACseq
1	17250811	17251221	411	*	ATACseq
1	17433986	17434273	288	*	ATACseq
1	17727215	17727804	590	*	ATACseq
1	17903740	17903860	121	*	ATACseq
1	17931826	17931936	111	*	ATACseq
1	17932018	17932682	665	*	ATACseq
1	18030155	18030580	426	*	ATACseq
1	18057877	18058948	1072	*	ATACseq
1	18078405	18078802	398	*	ATACseq
1	18079249	18079497	249	*	ATACseq
1	18229391	18229546	156	*	ATACseq
1	18245772	18246154	383	*	ATACseq
1	18267304	18267428	125	*	ATACseq
1	18268760	18269040	281	*	ATACseq
1	18269485	18269645	161	*	ATACseq
1	18323460	18323765	306	*	ATACseq
1	18579357	18579468	112	*	ATACseq
1	18658659	18659196	538	*	ATACseq
1	18793635	18793857	223	*	ATACseq
1	18831156	18831413	258	*	ATACseq
1	19096981	19097096	116	*	ATACseq
1	19103989	19104870	882	*	ATACseq
1	19109837	19110096	260	*	ATACseq
1	19149710	19149902	193	*	ATACseq
1	19209883	19210092	210	*	ATACseq
1	19233885	19234247	363	*	ATACseq
1	19234891	19235354	464	*	ATACseq
1	19236622	19236906	285	*	ATACseq
1	19241369	19241633	265	*	ATACseq
1	19372560	19372721	162	*	ATACseq
1	19449702	19450099	398	*	ATACseq
1	19899988	19900105	118	*	ATACseq
1	20302624	20302809	186	*	ATACseq
1	20403206	20403409	204	*	ATACseq
1	20477877	20478202	326	*	ATACseq
1	20544650	20544985	336	*	ATACseq
1	20554351	20554536	186	*	ATACseq
1	20678154	20678254	101	*	ATACseq
1	20760255	20760431	177	*	ATACseq
1	20770040	20770194	155	*	ATACseq
1	20786770	20786951	182	*	ATACseq
1	20804800	20804906	107	*	ATACseq
1	20820042	20820523	482	*	ATACseq
1	20867473	20867845	373	*	ATACseq
1	20867968	20868195	228	*	ATACseq
1	20890403	20891425	1023	*	ATACseq
1	20907822	20907946	125	*	ATACseq
1	20921335	20921495	161	*	ATACseq
1	20934819	20934950	132	*	ATACseq
1	20935365	20935527	163	*	ATACseq
1	20951237	20952038	802	*	ATACseq
1	21078815	21079750	936	*	ATACseq
1	21101477	21101600	124	*	ATACseq
1	21101714	21101929	216	*	ATACseq
1	21166275	21166622	348	*	ATACseq
1	21201502	21201693	192	*	ATACseq
1	21218525	21218895	371	*	ATACseq
1	21256002	21256225	224	*	ATACseq
1	21256411	21257035	625	*	ATACseq
1	21271416	21271637	222	*	ATACseq
1	21271976	21272359	384	*	ATACseq
1	21402249	21402468	220	*	ATACseq
1	21402654	21402884	231	*	ATACseq
1	21411424	21411717	294	*	ATACseq
1	21461035	21461257	223	*	ATACseq
1	21960550	21962377	1828	*	ATACseq
1	22269128	22269229	102	*	ATACseq
1	22294049	22294253	205	*	ATACseq
1	22466722	22467152	431	*	ATACseq
1	22533197	22534100	904	*	ATACseq
1	22805544	22806379	836	*	ATACseq
1	23049643	23049828	186	*	ATACseq
1	23062136	23062336	201	*	ATACseq
1	23256001	23256961	961	*	ATACseq
1	23382680	23383495	816	*	ATACseq
1	23524926	23525110	185	*	ATACseq
1	23761691	23763405	1715	*	ATACseq
1	23827041	23827325	285	*	ATACseq
1	23921812	23922511	700	*	ATACseq
1	23935039	23935531	493	*	ATACseq
1	23958761	23959094	334	*	ATACseq
1	23968351	23968596	246	*	ATACseq
1	24005414	24005765	352	*	ATACseq
1	24075824	24076377	554	*	ATACseq
1	24099691	24100594	904	*	ATACseq
1	24137070	24137585	516	*	ATACseq
1	24245923	24246194	272	*	ATACseq
1	24264658	24264799	142	*	ATACseq
1	24302811	24302920	110	*	ATACseq
1	24303307	24303426	120	*	ATACseq
1	24312223	24312343	121	*	ATACseq
1	24337619	24337765	147	*	ATACseq
1	24378370	24378542	173	*	ATACseq
1	24553659	24553784	126	*	ATACseq
1	24586356	24587471	1116	*	ATACseq
1	24612660	24612831	172	*	ATACseq
1	24645889	24646053	165	*	ATACseq
1	24678359	24679313	955	*	ATACseq
1	24699476	24699784	309	*	ATACseq
1	24776712	24776870	159	*	ATACseq
1	25012630	25013089	460	*	ATACseq
1	25064332	25064501	170	*	ATACseq
1	25181813	25182193	381	*	ATACseq
1	25228471	25229133	663	*	ATACseq
1	25310194	25310462	269	*	ATACseq
1	25401387	25401530	144	*	ATACseq
1	25461040	25461181	142	*	ATACseq
1	25510460	25510800	341	*	ATACseq
1	25829740	25830730	991	*	ATACseq
1	26229502	26229942	441	*	ATACseq
1	26524666	26524786	121	*	ATACseq
1	26527715	26527964	250	*	ATACseq
1	26687557	26687665	109	*	ATACseq
1	27032380	27032941	562	*	ATACseq
1	27307609	27307743	135	*	ATACseq
1	27403614	27403728	115	*	ATACseq
1	27749668	27749819	152	*	ATACseq
1	28622508	28623031	524	*	ATACseq
1	29485458	29485572	115	*	ATACseq
1	29737063	29737478	416	*	ATACseq
1	29814773	29814975	203	*	ATACseq
1	29895256	29895410	155	*	ATACseq
1	29978535	29978640	106	*	ATACseq
1	30246623	30246783	161	*	ATACseq
1	30333276	30333510	235	*	ATACseq
1	30548858	30549281	424	*	ATACseq
1	30698730	30698966	237	*	ATACseq
1	30700517	30700803	287	*	ATACseq
1	30804809	30805063	255	*	ATACseq
1	30868000	30868112	113	*	ATACseq
1	30872973	30874226	1254	*	ATACseq
1	30884152	30884332	181	*	ATACseq
1	30908964	30909079	116	*	ATACseq
1	30949156	30950188	1033	*	ATACseq
1	30977810	30977960	151	*	ATACseq
1	31096432	31096655	224	*	ATACseq
1	31233650	31233978	329	*	ATACseq
1	31301162	31301295	134	*	ATACseq
1	31395452	31395621	170	*	ATACseq
1	31492200	31492506	307	*	ATACseq
1	31678633	31679137	505	*	ATACseq
1	32074258	32074558	301	*	ATACseq
1	32111677	32111930	254	*	ATACseq
1	32172296	32173151	856	*	ATACseq
1	32221189	32221393	205	*	ATACseq
1	32265617	32266085	469	*	ATACseq
1	32286897	32287073	177	*	ATACseq
1	32436850	32436970	121	*	ATACseq
1	32702279	32702499	221	*	ATACseq
1	33106453	33106821	369	*	ATACseq
1	33257036	33257198	163	*	ATACseq
1	33271358	33271929	572	*	ATACseq
1	33331219	33331381	163	*	ATACseq
1	33555717	33556314	598	*	ATACseq
1	33564144	33564435	292	*	ATACseq
1	33565869	33566008	140	*	ATACseq
1	33575434	33575554	121	*	ATACseq
1	33614709	33614810	102	*	ATACseq
1	33621895	33622178	284	*	ATACseq
1	33636047	33636548	502	*	ATACseq
1	33636613	33636718	106	*	ATACseq
1	33637765	33638102	338	*	ATACseq
1	33669549	33670580	1032	*	ATACseq
1	33714960	33715083	124	*	ATACseq
1	33719771	33720456	686	*	ATACseq
1	33741820	33741922	103	*	ATACseq
1	33757508	33758007	500	*	ATACseq
1	33814109	33814900	792	*	ATACseq
1	33907473	33908279	807	*	ATACseq
1	33944846	33945397	552	*	ATACseq
1	33964521	33964657	137	*	ATACseq
1	33974534	33974868	335	*	ATACseq
1	33989828	33990186	359	*	ATACseq
1	34011160	34011777	618	*	ATACseq
1	34041276	34041396	121	*	ATACseq
1	34045813	34045924	112	*	ATACseq
1	34058347	34058523	177	*	ATACseq
1	34068450	34068555	106	*	ATACseq
1	34073731	34074078	348	*	ATACseq
1	34077180	34077380	201	*	ATACseq
1	34097108	34097237	130	*	ATACseq
1	34103324	34103983	660	*	ATACseq
1	34127820	34128050	231	*	ATACseq
1	34140179	34140588	410	*	ATACseq
1	34177966	34178550	585	*	ATACseq
1	34190079	34190187	109	*	ATACseq
1	34236297	34236620	324	*	ATACseq
1	34302561	34302775	215	*	ATACseq
1	34396467	34396586	120	*	ATACseq
1	34432965	34433237	273	*	ATACseq
1	34439328	34440136	809	*	ATACseq
1	34459437	34460136	700	*	ATACseq
1	34472730	34472863	134	*	ATACseq
1	34472936	34473440	505	*	ATACseq
1	34485491	34486087	597	*	ATACseq
1	34510775	34511101	327	*	ATACseq
1	34517126	34517535	410	*	ATACseq
1	34536897	34537201	305	*	ATACseq
1	34569936	34570050	115	*	ATACseq
1	34579357	34579945	589	*	ATACseq
1	34600136	34600279	144	*	ATACseq
1	34602321	34602626	306	*	ATACseq
1	34635549	34636021	473	*	ATACseq
1	34677883	34678243	361	*	ATACseq
1	34750577	34750859	283	*	ATACseq
1	34801704	34802193	490	*	ATACseq
1	34842619	34843385	767	*	ATACseq
1	34849908	34850180	273	*	ATACseq
1	35077486	35077712	227	*	ATACseq
1	35232671	35232815	145	*	ATACseq
1	35763538	35763685	148	*	ATACseq
1	35869803	35870002	200	*	ATACseq
1	35918158	35918376	219	*	ATACseq
1	35944473	35944624	152	*	ATACseq
1	36017037	36017470	434	*	ATACseq
1	36030534	36030797	264	*	ATACseq
1	36064884	36065020	137	*	ATACseq
1	36068197	36068767	571	*	ATACseq
1	36068824	36069021	198	*	ATACseq
1	36089747	36089952	206	*	ATACseq
1	36103632	36103827	196	*	ATACseq
1	36244031	36244397	367	*	ATACseq
1	36253074	36253268	195	*	ATACseq
1	36315071	36315220	150	*	ATACseq
1	36368797	36369497	701	*	ATACseq
1	36444719	36445431	713	*	ATACseq
1	36471294	36472018	725	*	ATACseq
1	36511675	36512281	607	*	ATACseq
1	36512335	36512738	404	*	ATACseq
1	36546936	36547494	559	*	ATACseq
1	36556699	36557622	924	*	ATACseq
1	36580118	36580396	279	*	ATACseq
1	36580564	36580962	399	*	ATACseq
1	36592843	36592966	124	*	ATACseq
1	36664238	36664386	149	*	ATACseq
1	36682728	36683131	404	*	ATACseq
1	36691330	36691809	480	*	ATACseq
1	36698458	36698613	156	*	ATACseq
1	36709506	36710136	631	*	ATACseq
1	36744668	36744848	181	*	ATACseq
1	36758768	36759168	401	*	ATACseq
1	36770765	36771260	496	*	ATACseq
1	36784767	36784877	111	*	ATACseq
1	36831557	36831673	117	*	ATACseq
1	36845117	36845259	143	*	ATACseq
1	36854220	36854495	276	*	ATACseq
1	36903748	36903887	140	*	ATACseq
1	36920262	36920407	146	*	ATACseq
1	36939444	36940173	730	*	ATACseq
1	36985866	36986198	333	*	ATACseq
1	37029129	37029375	247	*	ATACseq
1	37049412	37049523	112	*	ATACseq
1	37101749	37102008	260	*	ATACseq
1	37130305	37130407	103	*	ATACseq
1	37186910	37187099	190	*	ATACseq
1	37194788	37194984	197	*	ATACseq
1	37299740	37300291	552	*	ATACseq
1	37401978	37402483	506	*	ATACseq
1	37419587	37419715	129	*	ATACseq
1	37429791	37430421	631	*	ATACseq
1	37540589	37541423	835	*	ATACseq
1	37624392	37624511	120	*	ATACseq
1	37635913	37636192	280	*	ATACseq
1	37639288	37639618	331	*	ATACseq
1	37675443	37675667	225	*	ATACseq
1	37719567	37719993	427	*	ATACseq
1	37720080	37720206	127	*	ATACseq
1	37864539	37865513	975	*	ATACseq
1	37871932	37872837	906	*	ATACseq
1	37890192	37890573	382	*	ATACseq
1	37900236	37900477	242	*	ATACseq
1	37931909	37932023	115	*	ATACseq
1	37997001	37997423	423	*	ATACseq
1	37997954	37998340	387	*	ATACseq
1	38058587	38058762	176	*	ATACseq
1	38129286	38129865	580	*	ATACseq
1	38129924	38130155	232	*	ATACseq
1	38202921	38203023	103	*	ATACseq
1	38209920	38210378	459	*	ATACseq
1	38218426	38218685	260	*	ATACseq
1	38384279	38384558	280	*	ATACseq
1	38394480	38394786	307	*	ATACseq
1	38503834	38504024	191	*	ATACseq
1	38618652	38618804	153	*	ATACseq
1	38627119	38627773	655	*	ATACseq
1	38627874	38628136	263	*	ATACseq
1	38770116	38770315	200	*	ATACseq
1	38835747	38836121	375	*	ATACseq
1	38836173	38836317	145	*	ATACseq
1	38836453	38836733	281	*	ATACseq
1	38883820	38884001	182	*	ATACseq
1	38897514	38898190	677	*	ATACseq
1	38987349	38988050	702	*	ATACseq
1	39186810	39186959	150	*	ATACseq
1	39192492	39192599	108	*	ATACseq
1	39193409	39193590	182	*	ATACseq
1	39193852	39194343	492	*	ATACseq
1	39207027	39207131	105	*	ATACseq
1	39253988	39254197	210	*	ATACseq
1	39292122	39292267	146	*	ATACseq
1	39335746	39335947	202	*	ATACseq
1	39361749	39362180	432	*	ATACseq
1	39367845	39368146	302	*	ATACseq
1	39391066	39391308	243	*	ATACseq
1	39478130	39478858	729	*	ATACseq
1	39535688	39536231	544	*	ATACseq
1	39576651	39576917	267	*	ATACseq
1	39577146	39577575	430	*	ATACseq
1	39597797	39598085	289	*	ATACseq
1	39614769	39615014	246	*	ATACseq
1	39650680	39650992	313	*	ATACseq
1	39720921	39721106	186	*	ATACseq
1	39761415	39761749	335	*	ATACseq
1	39859375	39859545	171	*	ATACseq
1	39900635	39901361	727	*	ATACseq
1	39902874	39902987	114	*	ATACseq
1	39923621	39923971	351	*	ATACseq
1	39950197	39950511	315	*	ATACseq
1	40002261	40002472	212	*	ATACseq
1	40085635	40085924	290	*	ATACseq
1	40101628	40101856	229	*	ATACseq
1	40116498	40116666	169	*	ATACseq
1	40266503	40266997	495	*	ATACseq
1	40303439	40303750	312	*	ATACseq
1	40314174	40314326	153	*	ATACseq
1	40325410	40326202	793	*	ATACseq
1	40458077	40458392	316	*	ATACseq
1	40465661	40465853	193	*	ATACseq
1	40619192	40619344	153	*	ATACseq
1	40665186	40665351	166	*	ATACseq
1	40665503	40665608	106	*	ATACseq
1	40681112	40681231	120	*	ATACseq
1	40681326	40682099	774	*	ATACseq
1	40768711	40768823	113	*	ATACseq
1	40790303	40790949	647	*	ATACseq
1	41001751	41001984	234	*	ATACseq
1	41131429	41131654	226	*	ATACseq
1	41140498	41140664	167	*	ATACseq
1	41264422	41264631	210	*	ATACseq
1	41390234	41390477	244	*	ATACseq
1	41467907	41468216	310	*	ATACseq
1	41670447	41670555	109	*	ATACseq
1	41773380	41773548	169	*	ATACseq
1	41810450	41810555	106	*	ATACseq
1	42035405	42035644	240	*	ATACseq
1	42058201	42058307	107	*	ATACseq
1	42058548	42058734	187	*	ATACseq
1	42108748	42108902	155	*	ATACseq
1	42186199	42186481	283	*	ATACseq
1	42238361	42238547	187	*	ATACseq
1	42436642	42436878	237	*	ATACseq
1	42491190	42491994	805	*	ATACseq
1	42617729	42617847	119	*	ATACseq
1	42684383	42684567	185	*	ATACseq
1	42684691	42684976	286	*	ATACseq
1	42686261	42686958	698	*	ATACseq
1	42695619	42696001	383	*	ATACseq
1	42698306	42698476	171	*	ATACseq
1	42713240	42713351	112	*	ATACseq
1	42713588	42714443	856	*	ATACseq
1	42773966	42774068	103	*	ATACseq
1	42790883	42791077	195	*	ATACseq
1	42850880	42851593	714	*	ATACseq
1	42918390	42918496	107	*	ATACseq
1	42952677	42953613	937	*	ATACseq
1	43091993	43092807	815	*	ATACseq
1	43098409	43099010	602	*	ATACseq
1	43139723	43139867	145	*	ATACseq
1	43163503	43164279	777	*	ATACseq
1	43186462	43186769	308	*	ATACseq
1	43203192	43203448	257	*	ATACseq
1	43225945	43226213	269	*	ATACseq
1	43269666	43269876	211	*	ATACseq
1	43366255	43366360	106	*	ATACseq
1	43445430	43446514	1085	*	ATACseq
1	43553969	43554420	452	*	ATACseq
1	43571252	43571453	202	*	ATACseq
1	43730628	43730989	362	*	ATACseq
1	43820698	43820892	195	*	ATACseq
1	43827303	43828146	844	*	ATACseq
1	43882650	43883048	399	*	ATACseq
1	43899192	43899651	460	*	ATACseq
1	43933604	43934259	656	*	ATACseq
1	44035237	44035452	216	*	ATACseq
1	44042370	44042497	128	*	ATACseq
1	44102163	44102768	606	*	ATACseq
1	44118458	44120234	1777	*	ATACseq
1	44147545	44148279	735	*	ATACseq
1	44165079	44165190	112	*	ATACseq
1	44173830	44174209	380	*	ATACseq
1	44198764	44199168	405	*	ATACseq
1	44331374	44332158	785	*	ATACseq
1	44348672	44348958	287	*	ATACseq
1	44409523	44409667	145	*	ATACseq
1	44551548	44552284	737	*	ATACseq
1	44552342	44552674	333	*	ATACseq
1	44613794	44613979	186	*	ATACseq
1	44644916	44645048	133	*	ATACseq
1	45252712	45252963	252	*	ATACseq
1	45357943	45358540	598	*	ATACseq
1	45439324	45439428	105	*	ATACseq
1	45502126	45502434	309	*	ATACseq
1	45502743	45503148	406	*	ATACseq
1	45548642	45548789	148	*	ATACseq
1	45575191	45575447	257	*	ATACseq
1	45580513	45580636	124	*	ATACseq
1	45794673	45795886	1214	*	ATACseq
1	45818725	45818829	105	*	ATACseq
1	45925312	45926297	986	*	ATACseq
1	46022276	46022464	189	*	ATACseq
1	46066586	46067213	628	*	ATACseq
1	46088810	46089043	234	*	ATACseq
1	46425238	46425872	635	*	ATACseq
1	46514826	46514951	126	*	ATACseq
1	46649777	46650332	556	*	ATACseq
1	46751459	46751560	102	*	ATACseq
1	46852838	46853042	205	*	ATACseq
1	46853147	46854005	859	*	ATACseq
1	46864001	46864416	416	*	ATACseq
1	46894237	46894342	106	*	ATACseq
1	46894436	46894673	238	*	ATACseq
1	46921575	46922003	429	*	ATACseq
1	47076472	47076911	440	*	ATACseq
1	47238322	47238491	170	*	ATACseq
1	47721009	47721347	339	*	ATACseq
1	47743226	47743348	123	*	ATACseq
1	47827228	47827525	298	*	ATACseq
1	47914389	47914573	185	*	ATACseq
1	48368681	48368851	171	*	ATACseq
1	48545951	48546144	194	*	ATACseq
1	48635140	48635316	177	*	ATACseq
1	48651542	48652230	689	*	ATACseq
1	48815186	48815435	250	*	ATACseq
1	49232295	49232533	239	*	ATACseq
1	49618595	49618702	108	*	ATACseq
1	49934698	49935300	603	*	ATACseq
1	50082803	50083049	247	*	ATACseq
1	50399814	50399961	148	*	ATACseq
1	50400354	50400564	211	*	ATACseq
1	50635873	50636129	257	*	ATACseq
1	50900310	50900663	354	*	ATACseq
1	50926865	50928187	1323	*	ATACseq
1	51266098	51266258	161	*	ATACseq
1	51289488	51289842	355	*	ATACseq
1	51334092	51334214	123	*	ATACseq
1	51400537	51400686	150	*	ATACseq
1	51411831	51411950	120	*	ATACseq
1	51433377	51433484	108	*	ATACseq
1	51433773	51434055	283	*	ATACseq
1	51459216	51459493	278	*	ATACseq
1	51478061	51478794	734	*	ATACseq
1	51509100	51509330	231	*	ATACseq
